ID,S_NAME,P_HABITABLE,S_DISTANCE,S_ALT_NAMES,P_STATUS,H_1,H_2
19346,GJ 163,2,15.14,", HIP 19394",3.0,,1
36107,GJ 273,1,3.8,", HIP 36208",3.0,1,
118309,GJ 3293,2,20.2,",",3.0,,1
118342,GJ 3323,1,5.32,",",3.0,1,
46970,GJ 357,2,9.44,", HIP 47103",3.0,,1
119142,GJ 667 C,1,6.8,",",3.0,3,
106098,GJ 832,2,4.97,"HD 204961, HIP 106440",3.0,,1
-1,HD 40307,2,12.94,"HD 40307, HIP 27887",3.0,,1
118719,LHS 1140,2,14.99,",",3.0,,1
70666,Proxima Cen,1,1.3,", HIP 70890",3.0,1,
-2,TRAPPIST-1,1,12.43,",",3.0,4,
-3,Teegarden's Star,1,3.83,",",3.0,2,
80579,Wolf 1061,1,4.31,", HIP 80824",3.0,1,
8087,tau Cet,1,3.6,"HD 10700, HIP 8102",3.0,1,
118235,GJ 1061,1,3.69,0.00000,3.0,2,
